stock,STT,indicator,2017,2016,2015,2014,2013
KSB,3,Lợi nhuận trên cổ phiếu (EPS),0.33,0.64,0.30,0.15,-0.07
KSH,3,Lợi nhuận trên cổ phiếu (EPS),-0.34,-1.02,-0.36,4.91,-1.13
KSK,3,Lợi nhuận trên cổ phiếu (EPS),-0.15,-0.52,0.00,-0.90,1.67
KSQ,3,Lợi nhuận trên cổ phiếu (EPS),-0.49,-0.56,0.38,11.69,-0.86
KSS,3,Lợi nhuận trên cổ phiếu (EPS),-38.05,-29.38,-0.56,3.17,-1.07
KSS,3,Lợi nhuận trên cổ phiếu (EPS),-38.05,-29.38,-0.56,3.17,-1.07
KVC,3,Lợi nhuận trên cổ phiếu (EPS),0.17,0.37,-0.81,13.72,0.00
L14,3,Lợi nhuận trên cổ phiếu (EPS),1.26,0.32,0.08,4.57,-0.06
LAS,3,Lợi nhuận trên cổ phiếu (EPS),-0.10,-0.55,-0.30,-0.02,0.14
LBE,3,Lợi nhuận trên cổ phiếu (EPS),0.05,0.07,0.02,-0.05,-0.26
LCG,3,Lợi nhuận trên cổ phiếu (EPS),10.99,3.34,4.26,0.00,7.37
LCM,3,Lợi nhuận trên cổ phiếu (EPS),-0.97,-3.58,0.00,-6.12,-0.81
LDG,3,Lợi nhuận trên cổ phiếu (EPS),1.17,0.03,1.90,4.21,-0.56
LGL,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.81,-0.29,0.00,-20.65
LHG,3,Lợi nhuận trên cổ phiếu (EPS),0.58,1.33,1.76,0.03,-0.51
LIG,3,Lợi nhuận trên cổ phiếu (EPS),-0.55,-0.51,0.95,6.07,-0.85
LIX,3,Lợi nhuận trên cổ phiếu (EPS),-0.26,-0.13,1.25,0.17,0.16
LSS,3,Lợi nhuận trên cổ phiếu (EPS),-0.07,2.65,-0.13,0.22,0.05
MBB,3,Lợi nhuận trên cổ phiếu (EPS),0.45,0.17,0.00,0.09,-0.02
MBG,3,Lợi nhuận trên cổ phiếu (EPS),-0.58,0.00,-0.17,0.00,0.00
MBS,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.79,0.52,0.00,0.00
MCG,3,Lợi nhuận trên cổ phiếu (EPS),-0.71,-0.60,-0.32,0.00,-67.06
MHC,3,Lợi nhuận trên cổ phiếu (EPS),-0.97,-0.22,0.08,3.54,4.02
MPT,3,Lợi nhuận trên cổ phiếu (EPS),-0.15,-0.60,0.00,0.00,0.00
MSN,3,Lợi nhuận trên cổ phiếu (EPS),-0.21,0.89,0.37,1.51,-0.67
MSR,3,Lợi nhuận trên cổ phiếu (EPS),-0.12,-0.28,3.24,2.40,0.00
MTG,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,0.00,-5.17,0.06,0.42
MWG,3,Lợi nhuận trên cổ phiếu (EPS),0.28,0.47,0.60,0.25,1.04
NAF,3,Lợi nhuận trên cổ phiếu (EPS),0.45,0.01,1.61,12.19,0.00
NBB,3,Lợi nhuận trên cổ phiếu (EPS),20.78,0.08,0.24,0.38,-0.85
NBC,3,Lợi nhuận trên cổ phiếu (EPS),-0.15,-0.17,-0.48,0.25,0.67
NCT,3,Lợi nhuận trên cổ phiếu (EPS),0.04,-0.13,0.14,0.10,0.41
NDF,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-152.60,-0.99,4.43,-0.36
NDN,3,Lợi nhuận trên cổ phiếu (EPS),1.16,-0.28,0.14,1.75,1.70
NHA,3,Lợi nhuận trên cổ phiếu (EPS),0.48,0.24,1.40,12.52,0.24
NHP,3,Lợi nhuận trên cổ phiếu (EPS),-0.30,-0.35,0.02,0.00,0.00
NHS,3,Lợi nhuận trên cổ phiếu (EPS),-0.82,0.70,0.39,-0.10,-0.09
NKG,3,Lợi nhuận trên cổ phiếu (EPS),0.30,3.12,0.62,0.40,-1.49
NLG,3,Lợi nhuận trên cổ phiếu (EPS),0.82,0.67,1.16,4.23,-0.33
NT2,3,Lợi nhuận trên cổ phiếu (EPS),-0.45,-0.05,0.22,201.46,-0.43
NTB,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,-1.54
NTC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,0.00
NTL,3,Lợi nhuận trên cổ phiếu (EPS),0.46,-0.16,1.56,-0.59,0.68
NTP,3,Lợi nhuận trên cổ phiếu (EPS),0.22,0.08,0.14,0.11,-0.01
NVB,3,Lợi nhuận trên cổ phiếu (EPS),-0.19,1.10,-0.16,-0.59,7.71
NVL,3,Lợi nhuận trên cổ phiếu (EPS),-0.02,0.00,0.00,0.00,0.00
NVT,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-33.98,-0.82,-1.34
OGC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-1.49,2.32,5.37,0.28
PAC,3,Lợi nhuận trên cổ phiếu (EPS),0.32,0.34,0.21,0.14,0.07
PAN,3,Lợi nhuận trên cổ phiếu (EPS),0.40,0.22,1.19,0.97,-0.40
PC1,3,Lợi nhuận trên cổ phiếu (EPS),-0.40,1.76,0.00,0.00,0.00
PCG,3,Lợi nhuận trên cổ phiếu (EPS),-2.99,-0.98,-0.44,-0.33,1.29
PDR,3,Lợi nhuận trên cổ phiếu (EPS),1.81,0.53,2.77,12.41,-0.35
