Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
vantai,PVP,4.5(-0.3),480,10,1%,4%,11.3,43%,0,"94,275,028",0(0%),453
vantai,CCR,18(0),231,77.9,2%,2%,10.5,172%,0,"24,501,817","12,005,890(49%)",441
vantai,GSP,14(-0.2),"1,516",9.3,10%,13%,12,118%,0.2,"30,000,000","14,700,000(49%)",424
vantai,WCS,160(0),"23,875",6.7,22%,26%,92.7,173%,0.9,"2,500,000","1,225,000(49%)",400
vantai,SFI,29.5(0),"3,443",8.6,5%,9%,30.9,95%,0.1,"11,368,242","5,308,213(47%)",335
vantai,DXP,12.8(-0.1),969,13.3,7%,8%,12.6,102%,0.2,"25,987,027","3,858,736(15%)",335
vantai,VNF,55(0),"8,996",6.1,9%,20%,46.7,118%,0.6,"5,600,000","2,744,000(49%)",308
vantai,HRT,4.3(0.5),43,88.4,0%,0%,10,38%,0,"80,058,970",0(0%),304
vantai,PSN,7.5(0),828,9.1,4%,7%,12.4,60%,0,"40,000,000",0(0%),300
vantai,CMP,9.6(0),524,18.3,4%,5%,11.1,86%,0,"32,405,415","15,122,527(47%)",296
vantai,CNH,11.7(0),179,65.4,2%,2%,10.1,115%,0,"24,539,049","12,024,134(49%)",287
vantai,CCT,10(0),-133,-75.2,-1%,-1%,9.6,105%,0,"28,480,000",0(0%),285
vantai,HTC,27.7(2.5),"3,621",7,9%,18%,20.3,124%,0.6,"11,000,000","5,145,000(47%)",277
vantai,TCW,18.6(0.6),"1,922",9.4,10%,22%,20.7,87%,0,"14,998,258",0(0%),270
vantai,TCO,13(-0.4),985,13.6,8%,9%,11.1,121%,-0.5,"18,711,000","9,168,390(49%)",251
vantai,VFC,7.2(0),-217,-33.2,0%,-1%,14.4,50%,0.2,"33,976,121","1,435,034(4%)",245
vantai,VGP,28.6(0),"1,354",21.1,1%,7%,18.9,151%,0.5,"8,053,022","4,025,199(50%)",235
vantai,MHC,6.8(-0.0),121,56.4,1%,1%,15.1,45%,0.9,"32,735,090","13,948,559(43%)",224
vantai,PJT,13.8(-0.7),"2,332",6.2,8%,17%,13.5,108%,0.5,"15,360,478","5,300,446(35%)",223
vantai,VNT,25.7(0),"1,257",20.4,1%,8%,15,171%,0.3,"8,529,890","4,206,792(49%)",221
vantai,HHG,7.7(0.1),"1,616",4.7,8%,13%,12.1,63%,0.8,"28,840,125","14,131,661(49%)",219
vantai,PCT,9.5(0),101,94.1,1%,1%,11.1,86%,0.6,"23,000,000","11,270,000(49%)",218
vantai,NAP,10(0),961,10.4,8%,9%,10.7,93%,0,"21,517,200","10,543,428(49%)",215
vantai,HTV,16(0),"1,380",11.6,4%,6%,24,67%,-0.1,"13,104,000","6,420,960(49%)",210
vantai,IST,17(0),"3,380",5,11%,27%,12.5,136%,0,"12,008,672",0(0%),204
vantai,VFR,12(0),"3,639",3.3,11%,18%,19.9,60%,-1,"15,000,000","7,350,000(49%)",180
vantai,VNL,19.6(0),"2,547",7.7,6%,12%,21.9,89%,0.3,"9,000,000","4,410,000(49%)",176
vantai,PJC,30(0),"3,667",8.2,11%,22%,16.5,182%,0.9,"5,861,556","2,872,162(49%)",176
vantai,PSP,7.5(0),372,20.2,1%,2%,19.4,39%,0,"22,500,000","11,018,800(49%)",169
vantai,MAC,8.2(0.4),861,9.1,5%,7%,11.8,66%,0.1,"14,419,289","7,065,451(49%)",112
vantai,QSP,10.1(0),0,0,12%,16%,0,0%,0,"10,792,275",0(0%),109
vantai,PSC,12(0.4),"1,974",5.9,6%,12%,16.5,70%,0.9,"7,200,000","3,528,000(49%)",84
vantai,STT,10(-0.4),"-1,633",-6.4,-20%,-55%,2.2,463%,-0.2,"8,000,000","3,920,000(49%)",83
vantai,TJC,7.7(0),44,175,0%,0%,14.7,52%,0.8,"8,600,000","4,214,000(49%)",66
vantai,TNP,9(0),352,25.6,9%,10%,11.1,81%,0,"7,100,000",0(0%),64
vantai,QTC,22.7(-0.8),"3,497",6.7,11%,21%,17,138%,0.1,"2,700,000","1,323,000(49%)",63
vantai,DVC,10.3(0),274,37.6,8%,13%,18.6,55%,0,"6,046,637","2,279,197(38%)",62
vantai,DNL,14.5(0),4,"3,625",11%,12%,14,104%,0,"4,310,000","1,750,100(41%)",62
vantai,SAC,14.6(0),"1,805",8.1,10%,14%,12.8,114%,0,"4,050,000",0(0%),59
vantai,VST,1(0.1),"-5,626",-0.2,-20%,48%,-11.7,-8%,0.3,"58,999,337","28,787,087(49%)",53
vantai,MNC,5.5(0.5),790,6.3,1%,7%,11.7,43%,0.5,"9,279,261","4,546,837(49%)",46
vantai,VSP,1.1(0),"-61,878",0,-221%,131%,-4.3,-26%,1.5,"32,915,803","18,375,501(56%)",42
vantai,CCP,17(0),550,30.9,8%,8%,14.3,119%,0,"2,400,000",0(0%),41
vantai,HCT,17.8(0),900,19.8,4%,4%,20.4,87%,1,"2,016,385","988,028(49%)",36
