stock,STT,indicator,2017,2016,2015,2014,2013
IDI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.05,0.09,0.14,0.07
IDV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.42,0.61,0.34,0.56,0.43
IJC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.04,0.04,0.08,0.05
ITA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.00,0.01,0.02,0.01
ITC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.02,0.00,0.00,-0.20
ITD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.27,0.27,0.17,0.17,0.13
ITQ,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.00,0.07,0.11,0.03
JVC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,-1.49,-0.45,0.12,0.04
KBC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.08,0.07,0.05,0.02
KDC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.19,0.98,0.09,0.10
KDH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.09,0.07,0.04,-0.14
KHB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.01,0.00,-0.03
KHL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.28,-0.52,-0.02,0.00,0.00
KLF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.00,0.03,0.06,0.12
KLS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.03,0.06,0.06,0.01,0.07
KMR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.01,0.00,0.01,0.04
KPF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.05,0.09,0.05,0.00
KSA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.01,0.01,0.06,0.05
KSB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.35,0.34,0.24,0.20,0.18
KSH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.00,0.02,0.04,0.02
KSK,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,-0.02,0.01,0.01,0.09
KSQ,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.04,0.04,0.01
KSS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.87,-0.40,0.01,0.03,0.01
KSS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.87,-0.40,0.01,0.03,0.01
KVC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.03,0.07,0.14,0.04
L14,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.42,0.30,0.30,0.37,0.09
LAS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.11,0.23,0.29,0.32
LBE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.10,0.10,0.10,0.10
LCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.07,0.02,-0.01,-0.39
LCM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,-0.04,0.02,-0.21,0.03
LDG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.14,0.16,0.04,0.03
LGL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.05,0.03,0.10,-0.17
LHG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.25,0.10,0.04,0.04
LIG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.12,0.11,0.00
LIX,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.30,0.35,0.40,0.22,0.21
LSS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.10,0.03,0.03,0.03
MBB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.14,0.11,0.11,0.15,0.15
MBG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.10,0.10,0.05,0.00
MBS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.01,0.01,0.06,0.00
MCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.01,0.04,0.07,-0.33
MHC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.12,0.26,0.37,0.17
MPT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.03,0.10,0.03,-0.03
MSN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.19,0.09,0.14,0.09
MSR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.01,0.01,0.00,0.00
MTG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.02,-0.31,0.02,0.02
MWG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.38,0.41,0.43,0.46,0.32
NAF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.16,0.14,0.16,0.16,0.04
NBB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.03,0.03,0.02,0.02
NBC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.09,0.13,0.30,0.24
NCT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.73,0.62,0.72,0.60,0.86
NDF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,-0.10,0.00,0.04,0.05
NDN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.14,0.09,0.14,0.22,0.13
NHA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.12,0.11,0.06,0.00
NHP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.05,0.05,-0.02
NHS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.18,0.10,0.15,0.30
NKG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.29,0.33,0.20,0.15,0.16
NLG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.12,0.09,0.05,0.03
NT2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.22,0.24,0.37,0.00
NTB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.38,0.59,0.80,3.74,-1.94
NTC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.52,0.43,0.26,0.14,0.14
NTL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.08,0.11,0.04,0.11
NTP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.22,0.21,0.22,0.24
NVB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.00,0.00,0.01
NVL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.17,0.07,0.03,0.01
NVT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.49,0.02,-0.15,0.03,0.05
OGC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.57,-0.66,0.33,-2.80,0.03
PAC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.30,0.18,0.15,0.12
PAN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.12,0.15,0.13,0.04
PC1,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.15,0.18,0.49,0.31
PCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.00,0.03,0.05,0.07
PDR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.16,0.10,0.07,0.03,0.00
PET,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.10,0.13,0.17,0.16
PFL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,0.00,-0.06,-0.04,-0.24
PGC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.15,0.15,0.14,0.12
PGI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.11,0.12,0.10,0.08
PHC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.09,0.08,0.03,0.06
PHH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.06,0.02,0.00,0.01
PHR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.10,0.10,0.12,0.17
PIV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.07,0.33,0.43,0.00
PNC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.02,0.04,0.03,-0.28
PNJ,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.22,0.30,0.06,0.20,0.13
PPC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.29,0.11,0.10,0.19,0.30
PPI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.05,-0.07,0.05,0.07,0.00
PSG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.06,0.30,1.07,-10.00
PTB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.34,0.35,0.35,0.34,0.37
PTL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.00,0.00,-0.16
PV2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.23,-0.22,0.00,-0.12,-0.56
PVA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,1.01,10.00,-1.11,-2.46
PVB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,-0.16,0.16,0.37,0.19
